=== Knee/Ankle Issue Frames ===
총 문제 프레임: 489

{'frame': 0, 'left_knee_score': 0.05858095735311508, 'right_knee_score': 0.0605451837182045, 'knee_gap': 105.8053998550521, 'left_ankle_score': 0.05470002442598343, 'right_ankle_score': 0.08097672462463379, 'ankle_gap': 168.85759863469974}
{'frame': 1, 'left_knee_score': 0.05784081667661667, 'right_knee_score': 0.06059393286705017, 'knee_gap': 105.36131043531397, 'left_ankle_score': 0.053574077785015106, 'right_ankle_score': 0.08074381947517395, 'ankle_gap': 167.6565621311376}
{'frame': 2, 'left_knee_score': 0.06107635796070099, 'right_knee_score': 0.06149183213710785, 'knee_gap': 106.26885035691474, 'left_ankle_score': 0.05703415349125862, 'right_ankle_score': 0.07998104393482208, 'ankle_gap': 168.32807470766627}
{'frame': 3, 'left_knee_score': 0.060677774250507355, 'right_knee_score': 0.059832826256752014, 'knee_gap': 105.1457189693356, 'left_ankle_score': 0.05071445554494858, 'right_ankle_score': 0.07680866122245789, 'ankle_gap': 166.25770261264003}
{'frame': 4, 'left_knee_score': 0.0638994425535202, 'right_knee_score': 0.06172221153974533, 'knee_gap': 105.73445172187937, 'left_ankle_score': 0.05247622728347778, 'right_ankle_score': 0.0809786468744278, 'ankle_gap': 163.54318227652232}
{'frame': 5, 'left_knee_score': 0.06173897534608841, 'right_knee_score': 0.06367646157741547, 'knee_gap': 103.93505055221037, 'left_ankle_score': 0.05198480188846588, 'right_ankle_score': 0.07979130744934082, 'ankle_gap': 163.61033084458887}
{'frame': 6, 'left_knee_score': 0.06369788944721222, 'right_knee_score': 0.06410063803195953, 'knee_gap': 103.88662143117153, 'left_ankle_score': 0.049977295100688934, 'right_ankle_score': 0.07773752510547638, 'ankle_gap': 164.09996825550925}
{'frame': 7, 'left_knee_score': 0.06506804376840591, 'right_knee_score': 0.05525673180818558, 'knee_gap': 101.17271847163677, 'left_ankle_score': 0.05492154508829117, 'right_ankle_score': 0.08310757577419281, 'ankle_gap': 166.0672670806115}
{'frame': 8, 'left_knee_score': 0.06871503591537476, 'right_knee_score': 0.050894610583782196, 'knee_gap': 103.25418869570436, 'left_ankle_score': 0.053815994411706924, 'right_ankle_score': 0.08416497707366943, 'ankle_gap': 164.90922978429379}
{'frame': 9, 'left_knee_score': 0.07233208417892456, 'right_knee_score': 0.04324726015329361, 'knee_gap': 108.0971842174346, 'left_ankle_score': 0.05983086675405502, 'right_ankle_score': 0.08674163371324539, 'ankle_gap': 168.66315178681117}
{'frame': 10, 'left_knee_score': 0.06666231900453568, 'right_knee_score': 0.04019477218389511, 'knee_gap': 127.20446339943834, 'left_ankle_score': 0.05407708138227463, 'right_ankle_score': 0.09033623337745667, 'ankle_gap': 171.60526316670368}
{'frame': 11, 'left_knee_score': 0.0609280951321125, 'right_knee_score': 0.05075320228934288, 'knee_gap': 141.0913218146534, 'left_ankle_score': 0.04308111220598221, 'right_ankle_score': 0.08370918035507202, 'ankle_gap': 158.10305101980103}
{'frame': 12, 'left_knee_score': 0.06211850792169571, 'right_knee_score': 0.05417682230472565, 'knee_gap': 149.58005367347172, 'left_ankle_score': 0.037472330033779144, 'right_ankle_score': 0.079755038022995, 'ankle_gap': 170.14868019265953}
{'frame': 13, 'left_knee_score': 0.0640399307012558, 'right_knee_score': 0.051972921937704086, 'knee_gap': 163.651550604147, 'left_ankle_score': 0.04190899431705475, 'right_ankle_score': 0.07648147642612457, 'ankle_gap': 178.62935243449567}
{'frame': 14, 'left_knee_score': 0.061827681958675385, 'right_knee_score': 0.055715128779411316, 'knee_gap': 174.0861787106512, 'left_ankle_score': 0.04509984701871872, 'right_ankle_score': 0.0727403461933136, 'ankle_gap': 193.93066601725468}
{'frame': 15, 'left_knee_score': 0.05765141546726227, 'right_knee_score': 0.05084587633609772, 'knee_gap': 180.7303743499237, 'left_ankle_score': 0.0445561520755291, 'right_ankle_score': 0.06347556412220001, 'ankle_gap': 206.40868342764574}
